Parameter/Date,31 January 2024,30 January 2024,29 January 2024,28 January 2024,27 January 2024,26 January 2024,25 January 2024,24 January 2024,23 January 2024,22 January 2024,21 January 2024,20 January 2024,19 January 2024,18 January 2024,17 January 2024,16 January 2024,15 January 2024,14 January 2024,13 January 2024,12 January 2024,11 January 2024,10 January 2024,9 January 2024,8 January 2024,7 January 2024,6 January 2024,5 January 2024,4 January 2024,3 January 2024,2 January 2024,1 January 2024,Total
Sales,461.79,285.87,439.8,505.77,417.81,483.78,461.79,505.77,593.73,571.74,813.63,835.62,637.71,527.76,461.79,373.83,637.71,1033.53,549.75,549.75,395.82,659.7,417.81,571.74,769.65,764.1,439.8,593.73,659.7,681.69,769.65,17872.32
    Organic,241.89,43.98,307.86,263.88,219.9,329.85,285.87,241.89,307.86,307.86,285.87,263.88,373.83,197.91,241.89,153.93,219.9,461.79,241.89,87.96,219.9,351.84,219.9,241.89,439.8,214.35,197.91,241.89,329.85,285.87,417.81,8240.7
    Sponsored Products (same day),219.9,241.89,131.94,241.89,197.91,153.93,175.92,263.88,285.87,263.88,527.76,571.74,263.88,329.85,219.9,219.9,417.81,571.74,307.86,461.79,175.92,307.86,197.91,329.85,329.85,549.75,241.89,351.84,329.85,395.82,351.84,9631.62
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,461.79,285.87,439.8,505.77,417.81,483.78,461.79,505.77,593.73,571.74,813.63,835.62,637.71,527.76,461.79,373.83,637.71,1033.53,549.75,549.75,395.82,659.7,417.81,571.74,769.65,764.1,439.8,593.73,659.7,681.69,769.65,17872.32
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,21,13,20,23,19,22,21,23,27,26,37,38,29,24,21,17,29,47,25,25,18,30,19,26,35,35,20,27,30,31,35,813
    Organic,11,2,14,12,10,15,13,11,14,14,13,12,17,9,11,7,10,21,11,4,10,16,10,11,20,10,9,11,15,13,19,375
    Sponsored Products (same day),10,11,6,11,9,7,8,12,13,12,24,26,12,15,10,10,19,26,14,21,8,14,9,15,15,25,11,16,15,18,16,438
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,21,13,20,23,19,22,21,23,27,26,37,38,29,24,21,17,29,47,25,25,18,30,19,26,35,35,20,27,30,31,35,813
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,1,0,3,0,0,2,0,3,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,2,1,0,20
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-88.98,-88.8,-78.01,-89.57,-91.35,-95.68,-103.81,-93.29,-95.42,-124.07,-149.01,-140.29,-131.2,-120.9,-125.33,-133.44,-152.65,-161.84,-144.48,-132.68,-134.31,-145.76,-150.33,-129.31,-147.63,-154.41,-132.04,-134.82,-135.05,-137.02,-140.32,-3881.8
    Sponsored Products,-88.98,-88.8,-78.01,-89.57,-91.35,-95.68,-103.81,-93.29,-95.42,-124.07,-149.01,-140.29,-131.2,-120.9,-125.33,-133.44,-152.65,-161.84,-144.48,-132.68,-134.31,-145.76,-150.33,-129.31,-147.63,-154.41,-132.04,-134.82,-135.05,-137.02,-140.32,-3881.8
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-19.35,0,-19.35,0,-58.05,0,4.5,-38.7,0,-58.05,0,0,-19.35,0,-19.35,-19.35,0,0,-19.35,0,0,-19.35,0,0,0,-15.48,-19.35,0,-29.7,-19.35,0,-369.63
    Refunded referral fee,3.3,0,3.3,0,9.9,0,0,6.6,0,9.9,0,0,3.3,0,3.3,3.3,0,0,3.3,0,0,3.3,0,0,0,2.64,3.3,0,6.6,3.3,0,65.34
    Value of returned items,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13.5
    Refund commission,-0.66,0,-0.66,0,-1.98,0,0,-1.32,0,-1.98,0,0,-0.66,0,-0.66,-0.66,0,0,-0.66,0,0,-0.66,0,0,0,-0.53,-0.66,0,-1.32,-0.66,0,-13.07
    Refunded amount,-21.99,0,-21.99,0,-65.97,0,0,-43.98,0,-65.97,0,0,-21.99,0,-21.99,-21.99,0,0,-21.99,0,0,-21.99,0,0,0,-17.59,-21.99,0,-43.98,-21.99,0,-435.4
Amazon fees,-173.15,-113.1,-160.71,-200.1,-165.3,-191.4,-182.7,-173.52,-234.9,-212.91,-321.9,-317.61,-252.3,-208.8,-182.7,-147.9,-252.3,-411,-222,-223.8,-161.1,-257.01,-170.7,-695.06,-314.7,-318.01,-167.01,-243,-270,-279,-301.41,-7525.1
    FBA per unit fulfilment fee,-113.4,-70.2,-108,-124.2,-102.6,-118.8,-113.4,-124.2,-145.8,-140.4,-199.8,-205.2,-156.6,-129.6,-113.4,-91.8,-156.6,-255.9,-139.5,-141.3,-101.7,-171,-108,-147.9,-199.2,-203.34,-114,-153.9,-171,-176.7,-198.9,-4496.34
    Referral fee,-69.3,-42.9,-66,-75.9,-62.7,-72.6,-69.3,-75.9,-89.1,-85.8,-122.1,-125.4,-95.7,-79.2,-69.3,-56.1,-95.7,-155.1,-82.5,-82.5,-59.4,-99,-62.7,-85.8,-115.5,-114.67,-66,-89.1,-99,-102.3,-115.5,-2682.07
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-461.36,0,0,0,0,0,0,0,-461.36
    Warehouse damage,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29
    Warehouse lost manual,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,12.99,0,0,0,0,38.97
    Reversal reimbursement,9.55,0,0,0,0,0,0,13.29,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,49.12
Cost of goods,-94.5,-58.5,-94.5,-103.5,-85.5,-99,-94.5,-108,-121.5,-117,-166.5,-171,-130.5,-108,-94.5,-76.5,-130.5,-211.5,-112.5,-112.5,-81,-135,-85.5,-117,-157.5,-157.5,-90,-121.5,-135,-139.5,-157.5,-3667.5
    Cost of goods sold,-94.5,-58.5,-90,-103.5,-85.5,-99,-94.5,-103.5,-121.5,-117,-166.5,-171,-130.5,-108,-94.5,-76.5,-130.5,-211.5,-112.5,-112.5,-81,-135,-85.5,-117,-157.5,-157.5,-90,-121.5,-135,-139.5,-157.5,-3658.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,-4.5,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,85.81,25.47,87.23,112.6,17.61,97.7,85.28,92.26,141.91,59.71,176.22,206.72,104.36,90.06,39.91,-3.36,102.26,249.19,51.42,80.77,19.41,102.58,11.28,-369.63,149.82,118.7,31.4,94.41,89.95,106.82,170.42,2428.29
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,85.81,25.47,87.23,112.6,17.61,97.7,85.28,92.26,141.91,59.71,176.22,206.72,104.36,90.06,39.91,-3.36,102.26,249.19,51.42,80.77,19.41,102.58,11.28,-369.63,149.82,118.7,31.4,94.41,89.95,106.82,170.42,2428.29
Estimated payout,180.31,83.97,181.73,216.1,103.11,196.7,175.28,200.26,263.41,176.71,342.72,377.72,234.86,198.06,134.41,73.14,232.76,460.69,163.92,193.27,100.41,237.58,96.78,-252.63,307.32,276.2,121.4,215.91,215.95,246.32,327.92,6082.29
Real ACOS,19.27%,31.06%,17.74%,17.71%,21.86%,19.78%,22.48%,18.45%,16.07%,21.7%,18.31%,16.79%,20.57%,22.91%,27.14%,35.7%,23.94%,15.66%,26.28%,24.13%,33.93%,22.09%,35.98%,22.62%,19.18%,20.21%,30.02%,22.71%,20.47%,20.1%,18.23%,21.72%
% Refunds,4.76%,0%,5%,0%,15.79%,0%,0%,8.7%,0%,11.54%,0%,0%,3.45%,0%,4.76%,5.88%,0%,0%,4%,0%,0%,3.33%,0%,0%,0%,2.86%,5%,0%,6.67%,3.23%,0%,2.46%
Sellable returns,0%,,0%,,0%,,100%,,0%,,0%,0%,0%,,,,,,0%,,,0%,,,,,0%,,100%,,,21.43%
Margin,18.58%,8.91%,19.83%,22.26%,4.21%,20.2%,18.47%,18.24%,23.9%,10.44%,21.66%,24.74%,16.36%,17.06%,8.64%,-0.9%,16.04%,24.11%,9.35%,14.69%,4.9%,15.55%,2.7%,-64.65%,19.47%,15.53%,7.14%,15.9%,13.63%,15.67%,22.14%,13.59%
ROI,90.8%,43.54%,92.31%,108.79%,20.6%,98.69%,90.24%,85.43%,116.8%,51.03%,105.84%,120.89%,79.97%,83.39%,42.23%,-4.39%,78.36%,117.82%,45.71%,71.8%,23.96%,75.99%,13.19%,-315.92%,95.12%,75.37%,34.89%,77.7%,66.63%,76.57%,108.2%,66.21%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,129,133,121,150,135,142,129,130,152,176,209,184,172,174,163,188,209,228,184,167,176,208,187,159,205,214,177,169,191,186,184,5331
    Browser sessions,60,55,61,68,50,52,47,53,64,65,74,67,65,69,68,73,72,76,55,58,69,80,70,63,63,74,69,69,70,64,67,2010
    Mobile app sessions,69,78,60,82,85,90,82,77,88,111,135,117,107,105,95,115,137,152,129,109,107,128,117,96,142,140,108,100,121,122,117,3321
Unit session percentage,16.28%,9.77%,16.53%,15.33%,14.07%,15.49%,16.28%,17.69%,17.76%,14.77%,17.7%,20.65%,16.86%,13.79%,12.88%,9.04%,13.88%,20.61%,13.59%,14.97%,10.23%,14.42%,10.16%,16.35%,17.07%,16.36%,11.3%,15.98%,15.71%,16.67%,19.02%,15.25%